customer_tweet_id,agent_tweet_id,customer_text,weak_intent
363663,363661,"@AppleSupport Howdy. Today I started getting a ""No Sim Card Installed"" message on my iPhone 6. I'm running 9.2.1
???",network_connectivity
1254082,1254081,@AppleSupport how do I delete apps if this is what shows when I press and hold an app https://t.co/R47Tz6nsA7,howto_or_feature
2058732,2058730,@AppleSupport My icloud account has been locked for security reasons. Even my Apple ID is locked. I can't receive my confirmation code.,account_access
2889985,2889983,"@104870 @AppleSupport Hi, is it possible to link my Hive lights/hub to Apple HomeKit?",howto_or_feature
989648,989647,@AppleSupport my touch bar isn't working! https://t.co/Exw41Bcg2p,hardware_issue
989642,989641,@AppleSupport hey my touch bar isn't working again. In iTunes this time https://t.co/5GCRIP35Gw,hardware_issue
1181511,1181510,@applesupport my phone keeps saying storage almost full I've deleted apps photos and videos and it's still at the same space level help,storage_issue
2522960,2522958,@AppleSupport why does your new update require 3 passwords including an iCloud security code that I cannot change even though I know it,software_update_issue
574920,574918,"@applesupport how do I make a genius bar appointment?  the webpage is 403 forbidden.  I called the store number, but I am on hold.",howto_or_feature
1254545,1254544,Love my new MacBook Pro... Hate the fact my 6 year old Pro has better battery life than this brand new one😒 #Applefails @115858 @AppleSupport,battery_drain
333090,333088,"Hello @AppleSupport is there a bug for this #iOS11 ? Toggle from airplane mode turns on WiFi and Bluetooth

 https://t.co/wVlfwalG6l",software_update_issue
319973,319971,@applesupport I’m missing several thousand photos after upgrading to iOS 11. Years worth of content. I sure hope you have a solution.,software_update_issue
512335,512334,@AppleSupport can’t find my subscription button in my account settings. Help! 😵,subscription_management
512333,512332,@AppleSupport Iphone7+ I am tryin to manage subscription but I dont have the manage button. 😫,subscription_management
1101064,1101063,@AppleSupport Why 11 make my iphone 7+ lacks of battery performance?,battery_drain
324301,936086,@AppleSupport This is the worst software update ever. My iPhone keeps crashing all the time when using Spotify and Instagram or Twittee app.,software_update_issue
512329,512327,@AppleSupport I cant find the MANAGE SUBSCRIPTION. See screenshot. I only have manage itunes and special offers. https://t.co/nGWgRVoEVE,subscription_management
727094,727092,"@115858 Did you even test iOS 11 before releasing it? Phone freezes all the time, carplay barely works, battery drains.  #ios11update #brick",battery_drain
295772,295770,@115858 @AppleSupport iOS11 is very heavy on the iPhone 6 battery. Battery drains out quickly as compared to previous OS. Pls look into it,battery_drain
284771,284769,@AppleSupport since upgrade to iOS 11 my iPhone 7’s battery life is even worse than before! i can watch the % drop as I’m using my phone! 👎,battery_drain
1824652,1824650,@AppleSupport #iOS11 bug when playing audio with bluetooth (music or spotify app): music sometimes stops for a split second :-(,software_update_issue
1517715,1517713,@AppleSupport I do everything still can't to activate from iTunes or Sim card,network_connectivity
206920,206919,"#iOS11 so many bugs, phone freezing, wifi switches on its own, battery drains fast #applesupport @AppleSupport",battery_drain
243096,243094,@115858 facing serious freezing &amp; battery drain issues in #iphone7. Unable to send text msg from call list. Awaiting update to resolve these,battery_drain
242511,242510,"@AppleSupport Hello, team! is there any way I can wipe “Other” from my storage? And y do photos not offload to iCloud to save phone space? https://t.co/zQ3h9pZdZw",app_issue
281879,281878,@AppleSupport my 7plus keeps freezing since I updated to iOS11. I have to keep restarting it. This is not good.,software_update_issue
281876,281874,@AppleSupport I wasn’t even using Safari that time. The freezing keeps happening more and more and I don’t want to keep restarting my phone,app_issue
778298,778296,@AppleSupport how do I make this notification stop?? Please don't say buy more storage bc ya girl is broke. Thanks! https://t.co/ADjSQb00Er,howto_or_feature
1624946,1624944,@AppleSupport how can I downgrade to IOS 10 again? My phone is ridiculously slow after upgrading and I prefer the roundness of the previous😟,software_update_issue
237027,237025,@AppleSupport I have been locked out of my account for 5 days and now it says 23 days. I want this canceled,account_access
409648,409647,"This is what my lock screen looks like, @115858 PLEASE address the bugs. I have like 4 other glitches that I can recreate with the new update 😣 https://t.co/NzAfYNzZpt",software_update_issue
409645,409643,@AppleSupport I’m using an iPhone SE 64GB with the latest iOS update as of last night.,software_update_issue
238763,2047759,@115858 Many time show bugs on new update of iPhone 7 Plus https://t.co/SyEupW4Mq7,software_update_issue
2057766,2057764,"My iPhone has been the biggest piece of fucking shit since the update. Crashes constantly, shit as fuck battery @AppleSupport this is a joke",software_update_issue
